sentence1,sentence2,similarity
Pfandgläubiger hat Ersatzpflicht.,Die Ersatzansprüche des Verpfänders wegen Veränderungen oder Verschlechterungen des Pfandes sowie die Ansprüche des Pfandgläubigers auf Ersatz von Verwendungen oder auf Gestattung der Wegnahme einer Einrichtung verjähren in sechs Monaten. Die Vorschrift des § 548 Abs. 1 Satz 2 und 3 Abs. 2 findet entsprechende Anwendung.,widerspruch
"Wenn jemand auf das Erbrecht verzichtet, so ist zu erwarten, dass er es nur für den Fall tun will, dass sein Erbe wird.",Einem Testamentsvollstrecker hat das Nachlassgericht auf Antrag ein Zeugnis über die Ernennung zu erteilen. Die Vorschriften über den Erbschein finden auf das Zeugnis entsprechende Anwendung; mit der Beendigung des Amts des Testamentsvollstreckers wird das Zeugnis kraftlos.,widerspruch
Anspruch auf Unterhalt erlischt mit Tod des Berechtigten.,Eine Sorgeerklärung unter einer Bedingung oder einer Zeitbestimmung ist unwirksam. Die Sorgeerklärung kann schon vor der Geburt des Kindes abgegeben werden. Eine Sorgeerklärung ist unwirksam soweit eine gerichtliche Entscheidung über die elterliche Sorge nach den § 1626a Absatz 1 Nummer 3 oder § 1671 getroffen oder eine solche Entscheidung nach § 1696 Absatz 1 Satz 1 geändert wurde.,widerspruch
"Nebenforderungen, die Nebennutzungen sind, werden nicht berücksichtigt. Wenn Nebennutzungen Zinsen oder Kosten sind, wird der Wert der Nebenforderungen maßgeblich sein, solange er den Wert des Hauptanspruchs nicht überschreitet. Wenn die Kosten des Rechtsstreits ohne den Hauptanspruch betroffen sind, wird der Betrag der Kosten",Wird eine Abschätzung durch Sachverständige erforderlich ist in dem Beschluss durch den der Wert festgesetzt wird (§ 63) über die Kosten der Abschätzung zu entscheiden. Diese Kosten können ganz oder teilweise der Partei auferlegt werden welche die Abschätzung durch Unterlassen der ihr obliegenden Wertangabe durch unrichtige Angabe des Werts durch unbegründetes Bestreiten des angegebenen Werts oder durch eine unbegründete Beschwerde veranlasst hat.,widerspruch
"Gesamtschuldner haften, soweit die Kosten nicht durch gerichtliche Entscheidung unter sie verteilt sind.",Streitgenossen haften als Gesamtschuldner wenn die Kosten nicht durch gerichtliche Entscheidung unter sie verteilt sind. Soweit einen Streitgenossen nur Teile des Streitgegenstands betreffen beschränkt sich seine Haftung als Gesamtschuldner auf den Betrag der entstanden wäre wenn das Verfahren nur diese Teile betroffen hätte. Absatz 1 gilt auch für mehrere Beigeladene denen Kosten auferlegt worden sind.,perfekt
"Insolvenzplan darf nur bestätigt werden, wenn alle betroffenen Gläubiger dem Plan zugestimmt haben.",Im Partikularverfahren sind die Vorschriften über die Restschuldbefreiung nicht anzuwenden. Ein Insolvenzplan in dem eine Stundung ein Erlass oder sonstige Einschränkungen der Rechte der Gläubiger vorgesehen sind kann in diesem Verfahren nur bestätigt werden wenn alle betroffenen Gläubiger dem Plan zugestimmt haben.,perfekt
Gesellschaftersansprüche sind nicht übertragbar.,Sind die Anteile der Gesellschafter am Gewinn und Verlust nicht bestimmt so hat jeder Gesellschafter ohne Rücksicht auf die Art und die Größe seines Beitrags einen gleichen Anteil am Gewinn und Verlust. Ist nur der Anteil am Gewinn oder am Verlust bestimmt so gilt die Bestimmung im Zweifel für Gewinn und Verlust.,widerspruch
"Vollstreckungsgericht ist Amtsgericht, das zuständig ist, wenn der Schuldner im Inland seinen allgemeinen Gerichtsstand hat.",Die gerichtlichen Handlungen welche die Zwangsvollstreckung in Forderungen und andere Vermögensrechte zum Gegenstand haben erfolgen durch das Vollstreckungsgericht. Als Vollstreckungsgericht ist das Amtsgericht bei dem der Schuldner im Inland seinen allgemeinen Gerichtsstand hat und sonst das Amtsgericht zuständig bei dem nach § 23 gegen den Schuldner Klage erhoben werden kann. Ist das angegangene Gericht nicht zuständig gibt es die Sache auf Antrag des Gläubigers an das zuständige Gericht ab. Die Abgabe ist nicht bindend.,perfekt
Inhaber von angemeldeten oder eingetragenen Kollektivmarken dürfen nur rechtsfähige Verbände sein.,Inhaber von angemeldeten oder eingetragenen Kollektivmarken können nur rechtsfähige Verbände sein einschließlich der rechtsfähigen Dachverbände und Spitzenverbände deren Mitglieder selbst Verbände sind. Diesen Verbänden sind die juristischen Personen des öffentlichen Rechts gleichgestellt.,perfekt
"Erblasser muß in der Niederschrift feststellen, ob er verzichtet. Verzicht kann in der Niederschrift festgestellt werden.",Gegen die Ablehnung der Erteilung der Vollstreckungsklausel oder einer Amtshandlung nach den §§ 45 46 51 sowie gegen die Ersetzung einer Urschrift ist die Beschwerde gegeben. Für das Beschwerdeverfahren gelten die Vorschriften des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit. Über die Beschwerde entscheidet eine Zivilkammer des Landgerichts in dessen Bezirk die Stelle gegen die sich die Beschwerde richtet ihren Sitz hat.,widerspruch
"Das Bundesministerium der Justiz und für Verbraucherschutz hat die näheren Bestimmungen zum Register über den Abruf von Schutzschriften aus dem Register sowie über die Einzelheiten der Datenübermittlung und -speicherung, der Datensicherheit und der Barrierefreiheit zu treffen.",Ist einer Bestimmung dieses Buches von der die Parteien abweichen können oder einem vereinbarten Erfordernis des schiedsrichterlichen Verfahrens nicht entsprochen worden so kann eine Partei die den Mangel nicht unverzüglich oder innerhalb einer dafür vorgesehenen Frist rügt diesen später nicht mehr geltend machen. Dies gilt nicht wenn der Partei der Mangel nicht bekannt war.,widerspruch
"Tatsachen, die geeignet sind die Annahme und ihre Umstände aufzudecken, dürfen ohne Zustimmung des Annehmenden und des Kindes nicht offenbart oder ausgeforscht werden. Wenn die nach § 1747 erforderliche Einwilligung erteilt wurde, gilt dies auch, wenn der Antrag auf Ersetzung der Einwilligung eines Elternteils gestellt w",Tatsachen die geeignet sind die Annahme und ihre Umstände aufzudecken dürfen ohne Zustimmung des Annehmenden und des Kindes nicht offenbart oder ausgeforscht werden es sei denn dass besondere Gründe des öffentlichen Interesses dies erfordern. Absatz 1 gilt sinngemäß wenn die nach § 1747 erforderliche Einwilligung erteilt ist. Das Familiengericht kann anordnen dass die Wirkungen des Absatzes 1 eintreten wenn ein Antrag auf Ersetzung der Einwilligung eines Elternteils gestellt worden ist.,perfekt
"Die Insolvenzverfahren über das Vermögen des Unternehmers gilt § 112 Abs. 2 Satz 1 des Betriebsverfassungsgesetzes mit der Maßgabe, daß der Insolvenzverwalter und der Betriebsrat gemeinsam um eine Vermittlung ersuchen.",Soweit der Insolvenzverwalter nicht zur Verwertung einer beweglichen Sache oder einer Forderung berechtigt ist an denen ein Absonderungsrecht besteht bleibt das Recht des Gläubigers zur Verwertung unberührt. Auf Antrag des Verwalters und nach Anhörung des Gläubigers kann das Insolvenzgericht eine Frist bestimmen innerhalb welcher der Gläubiger den Gegenstand zu verwerten hat. Nach Ablauf der Frist ist der Verwalter zur Verwertung berechtigt.,widerspruch
"Ein Rechtsanwalt, der verboten worden ist, in einer juristischen Berufs- oder Tätigkeitsberufung oder einer Behörde tätig zu sein, darf nicht mehr vor Gerichten oder Behörden auftreten.",Der Rechtsanwalt der in die Vorschlagsliste aufgenommen wurde hat das Recht die Protokolle des Wahlausschusses einzusehen. Die persönlichen beruflichen und wirtschaftlichen Verhältnisse des Rechtsanwalts werden in einem gesonderten Bericht dargestellt den der Rechtsanwalt einsehen kann. § 58 Abs. 2 und 3 ist entsprechend anzuwenden.,widerspruch
Der zu ersetzende Schaden umfasst auch den entgangenen Gewinn.,"Wer berechtigt ist, von einer Sache, die er einem anderen herauszugeben hat, eine Einrichtung wegzunehmen, hat im Falle der Wegnahme die Sache auf seine Kosten in den vorigen Stand zu setzen. Erlangt der andere den Besitz der Sache, so ist er verpflichtet, die Wegnahme der Einrichtung zu gestatten; er kann die Gestattung verweigern, bis ihm für den mit der Wegnahme verbundenen Schaden Sicherheit geleistet wird.",widerspruch
"Erlass eines Verwaltungsaktes ist nur dann möglich, wenn die Entscheidung rechtswidrig ist.",Soweit die Stelle die den Verwaltungsakt erlassen hat ermächtigt ist nach ihrem Ermessen zu handeln kann der Antrag nur darauf gestützt werden dass die Entscheidung rechtswidrig ist weil die gesetzlichen Grenzen des Ermessens überschritten sind oder von dem Ermessen in einer dem Zweck der Ermächtigung nicht entsprechenden Weise Gebrauch gemacht worden ist. Dies gilt nicht soweit in dem Verwaltungsakt über einen Anspruch auf eine Geldleistung entschieden worden ist.,perfekt
"Behörden, die zuständig sind, werden bestimmt.",Die Landesregierungen oder die von ihnen bestimmten Stellen bestimmen die für die Ausführung dieses Gesetzes zuständigen Behörden soweit nicht Bundesbehörden zuständig sind. Unberührt bleiben Vorschriften des Landesrechts nach denen für ein Land Behörden eines anderen Landes zuständig sind.,perfekt
"Ein Gegner kann beantragen, dass eine Entscheidung nach Lage der Akten erfolgt.",Das Gericht hat von Amts wegen zu prüfen ob der Einspruch an sich statthaft und ob er in der gesetzlichen Form und Frist eingelegt ist. Fehlt es an einem dieser Erfordernisse so ist der Einspruch als unzulässig zu verwerfen. Das Urteil kann ohne mündliche Verhandlung ergehen.,widerspruch
Bei der Beweisaufnahme wird der Richter bezeichnet und der Termin bestimmt. Bei Verzögerung wird er durch den beauftragten Richter verhindert.,Soll die Beweisaufnahme durch ein Mitglied des Prozessgerichts erfolgen so wird bei der Verkündung des Beweisbeschlusses durch den Vorsitzenden der beauftragte Richter bezeichnet und der Termin zur Beweisaufnahme bestimmt. Ist die Terminsbestimmung unterblieben so erfolgt sie durch den beauftragten Richter wird er verhindert den Auftrag zu vollziehen so ernennt der Vorsitzende ein anderes Mitglied.,perfekt
"Geschenke, die der Pflichtteilsberechtigte erhalten hat, sind in gleicher Weise wie Geschenke, die dem Dritten gemacht wurden, dem Nachlass hinzuzurechnen.",Hat der Pflichtteilsberechtigte selbst ein Geschenk von dem Erblasser erhalten so ist das Geschenk in gleicher Weise wie das dem Dritten gemachte Geschenk dem Nachlass hinzuzurechnen und zugleich dem Pflichtteilsberechtigten auf die Ergänzung anzurechnen. Ein nach § 2315 anzurechnendes Geschenk ist auf den Gesamtbetrag des Pflichtteils und der Ergänzung anzurechnen. Ist der Pflichtteilsberechtigte ein Abkömmling des Erblassers so findet die Vorschrift des § 2051 Abs. 1 entsprechende Anwendung.,perfekt
Notar darf einen Vergleich von einem anderen Gericht vollstrecken.,Für die Abnahme der Vermögensauskunft und der eidesstattlichen Versicherung ist der Gerichtsvollzieher bei dem Amtsgericht zuständig in dessen Bezirk der Schuldner im Zeitpunkt der Auftragserteilung seinen Wohnsitz oder in Ermangelung eines solchen seinen Aufenthaltsort hat. Ist der angegangene Gerichtsvollzieher nicht zuständig so leitet er die Sache auf Antrag des Gläubigers an den zuständigen Gerichtsvollzieher weiter.,widerspruch
"Wer in den Fällen des § 84 Abs. 1 als Mitglied einer Bande die sich zur fortgesetzten Begehung solcher Taten verbunden hat, wird mit Freiheitsstrafe von einem Jahr bis zu zehn Jahren bestraft. In minder schweren Fällen ist die Strafe Freiheitsstrafe von sechs Monaten bis zu fünf Jahren.",Wird das Berufsausbildungsverhältnis nach der Probezeit vorzeitig gelöst so können Ausbildende oder Auszubildende Ersatz des Schadens verlangen wenn die andere Person den Grund für die Auflösung zu vertreten hat. Dies gilt nicht im Falle des § 22 Abs. 2 Nr. 2. Der Anspruch erlischt wenn er nicht innerhalb von drei Monaten nach Beendigung des Berufsausbildungsverhältnisses geltend gemacht wird.,widerspruch
"Der Gerichtshof ersucht das zuständige Gericht in einem anderen Mitgliedstaat, um Beweismaterial zur Ausübung seiner Zuständigkeit zu übernehmen.",Hat der Gläubiger nach Artikel 20 Abs. 2 Buchstabe c der Verordnung (EG) Nr. 805/2004 eine Übersetzung vorzulegen so ist diese in deutscher Sprache zu verfassen und von einer hierzu in einem der Mitgliedstaaten der Europäischen Union befugten Person zu beglaubigen.,widerspruch
Die Währungs- und Notenbank wird in Deutschland als Bundesbank errichtet. Sie hat die Aufgaben und Befugnisse der Europäischen Zentralbank.,Zur Vermeidung von Haushaltsnotlagen regelt ein Bundesgesetz das der Zustimmung des Bundesrates bedarf 1. die fortlaufende Überwachung der Haushaltswirtschaft von Bund und Ländern durch ein gemeinsames Gremium (Stabilitätsrat) 2. die Voraussetzungen und das Verfahren zur Feststellung einer drohenden Haushaltsnotlage 3. die Grundsätze zur Aufstellung und Durchführung von Sanierungsprogrammen zur Vermeidung von Haushaltsnotlagen. Die Beschlüsse des Stabilitätsrats und die zugrunde liegenden Beratungsunterlagen sind zu veröffentlichen.,widerspruch
"Der Erbvertrag kann aufgrund der §§ 2078, 2079 auch von dem Erblasser angefochten werden.","Der Erbvertrag kann auf Grund der §§ 2078, 2079 auch von dem Erblasser angefochten werden; zur Anfechtung auf Grund des § 2079 ist erforderlich, dass der Pflichtteilsberechtigte zur Zeit der Anfechtung vorhanden ist. Soll nach dem Tode des anderen Vertragschließenden eine zugunsten eines Dritten getroffene Verfügung von dem Erblasser angefochten werden, so ist die Anfechtung dem Nachlassgericht gegenüber zu erklären. Das Nachlassgericht soll die Erklärung dem Dritten mitteilen.",perfekt
"Gegenstände, die als Beweismittel für die Untersuchung von Bedeutung sein können, sind in Verwahrung zu nehmen oder in anderer Weise sicherzustellen.",Gegenstände die als Beweismittel für die Untersuchung von Bedeutung sein können sind in Verwahrung zu nehmen oder in anderer Weise sicherzustellen. Befinden sich die Gegenstände in dem Gewahrsam einer Person und werden sie nicht freiwillig herausgegeben so bedarf es der Beschlagnahme. Die Absätze 1 und 2 gelten auch für Führerscheine die der Einziehung unterliegen. Die Herausgabe beweglicher Sachen richtet sich nach den §§ 111n und 111o.,perfekt
§ 73 Absatz 2c bis 6 gelten entsprechend.,Mit Freiheitsstrafe von einem Jahr bis zu zehn Jahren wird bestraft wer in den Fällen des § 84 Abs. 1 als Mitglied einer Bande die sich zur fortgesetzten Begehung solcher Taten verbunden hat gewerbsmäßig handelt. In minder schweren Fällen ist die Strafe Freiheitsstrafe von sechs Monaten bis zu fünf Jahren. (weggefallen),widerspruch
Die Hypothek ist auf wiederkehrende Leistungen ausgerichtet.,Der Eigentümer kann gegen die Hypothek die dem persönlichen Schuldner gegen die Forderung sowie die nach § 770 einem Bürgen zustehenden Einreden geltend machen. Stirbt der persönliche Schuldner so kann sich der Eigentümer nicht darauf berufen dass der Erbe für die Schuld nur beschränkt haftet. Ist der Eigentümer nicht der persönliche Schuldner so verliert er eine Einrede nicht dadurch dass dieser auf sie verzichtet.,widerspruch
Luftfahrzeuge müssen eine ausreichende Betriebsstoffmenge mitführen.,Motorgetriebene Luftfahrzeuge müssen eine ausreichende Betriebsstoffmenge mitführen die unter Berücksichtigung der Wetterbedingungen und der zu erwartenden Verzögerungen die sichere Durchführung des Fluges gewährleistet. Darüber hinaus muß eine Betriebsstoffreserve mitgeführt werden die für unvorhergesehene Fälle und für den Flug zum Ausweichflugplatz zur Verfügung steht sofern ein Ausweichflugplatz im Flugplan angegeben ist.,perfekt
Mäklerlohn darf herabgesetzt werden.,Ist für den Nachweis der Gelegenheit zum Abschluss eines Dienstvertrags oder für die Vermittlung eines solchen Vertrags ein unverhältnismäßig hoher Mäklerlohn vereinbart worden so kann er auf Antrag des Schuldners durch Urteil auf den angemessenen Betrag herabgesetzt werden. Nach der Entrichtung des Lohnes ist die Herabsetzung ausgeschlossen.,perfekt
"Erbe ist berechtigt, Vermächtnisse und Auflagen zu berichtigen.",Beruht die Überschuldung des Nachlasses auf Vermächtnissen und Auflagen so ist der Erbe auch wenn die Voraussetzungen des § 1990 nicht vorliegen berechtigt die Berichtigung dieser Verbindlichkeiten nach den Vorschriften der §§ 1990 1991 zu bewirken. Er kann die Herausgabe der noch vorhandenen Nachlassgegenstände durch Zahlung des Wertes abwenden.,perfekt
"Wer etwas erlangt hat, muss es zur Herausgabe verpflichten.",Wer durch die Leistung eines anderen oder in sonstiger Weise auf dessen Kosten etwas ohne rechtlichen Grund erlangt ist ihm zur Herausgabe verpflichtet. Diese Verpflichtung besteht auch dann wenn der rechtliche Grund später wegfällt oder der mit einer Leistung nach dem Inhalt des Rechtsgeschäfts bezweckte Erfolg nicht eintritt. Als Leistung gilt auch die durch Vertrag erfolgte Anerkennung des Bestehens oder des Nichtbestehens eines Schuldverhältnisses.,perfekt
"Die Zeugen sind zu vernehmen. Sie sollen vor der Gegenüberstellung mit dem Beschuldigten anwesend sein, falls dies für das weitere Verfahren notwendig erscheint. Bei einer Gegenüberstellung mit dem Beschuldigten ist der Verteidiger bei der Anwesenheit gestattet.",Die Auswahl der zuzuziehenden Sachverständigen und die Bestimmung ihrer Anzahl erfolgt durch den Richter. Er soll mit diesen eine Absprache treffen innerhalb welcher Frist die Gutachten erstattet werden können. Sind für gewisse Arten von Gutachten Sachverständige öffentlich bestellt so sollen andere Personen nur dann gewählt werden wenn besondere Umstände es fordern.,widerspruch
"Ein abgelehntes Gericht hat nur solche Handlungen vorzunehmen, die keinen Aufschub gestatten.",Ein abgelehnter Richter hat vor Erledigung des Ablehnungsgesuchs nur solche Handlungen vorzunehmen die keinen Aufschub gestatten. Wird ein Richter während der Verhandlung abgelehnt und würde die Entscheidung über die Ablehnung eine Vertagung der Verhandlung erfordern so kann der Termin unter Mitwirkung des abgelehnten Richters fortgesetzt werden. Wird die Ablehnung für begründet erklärt so ist der nach Anbringung des Ablehnungsgesuchs liegende Teil der Verhandlung zu wiederholen.,perfekt
Gegenstände auf die sich eine Straftat nach § 267 § 268 § 271 Abs. 2 und 3 § 273 oder § 276 dieser auch in Verbindung mit § 276a oder nach § 279 bezieht können eingezogen werden.,Gegenstände auf die sich eine Straftat nach § 267 § 268 § 271 Abs. 2 und 3 § 273 oder § 276 dieser auch in Verbindung mit § 276a oder nach § 279 bezieht können eingezogen werden. In den Fällen des § 275 auch in Verbindung mit § 276a werden die dort bezeichneten Fälschungsmittel eingezogen.,perfekt
"Wer ohne Beauftragung eines Geschäftspartners ein Geschäft macht, muss dieses so führen, dass es dem Interesse des Geschäftsherrn wahrscheinlich entspricht.",Liegen die Voraussetzungen des § 683 nicht vor so ist der Geschäftsherr verpflichtet dem Geschäftsführer alles was er durch die Geschäftsführung erlangt nach den Vorschriften über die Herausgabe einer ungerechtfertigten Bereicherung herauszugeben. Genehmigt der Geschäftsherr die Geschäftsführung so steht dem Geschäftsführer der in § 683 bestimmte Anspruch zu.,widerspruch
Geschäftsführung entscheidet über Verteilung von Skontren.,Über die Verteilung der Skontren unter den für die Skontroführung geeigneten Antragstellern nach § 27 Abs. 1 Satz 2 und die Anzahl der Skontroführer entscheidet die Geschäftsführung. Die Zuteilung von Skontren kann befristet erfolgen. Das Nähere regelt die Börsenordnung. Die Börsenordnung kann als Kriterien für die Zuteilung der Skontren insbesondere die fachliche und wirtschaftliche Leistungsfähigkeit des Antragstellers vorsehen.,perfekt
"Nach der Entlassung besteht kein Anspruch auf Besoldung und Versorgung, soweit gesetzlich nichts anderes bestimmt ist. Die oberste Dienstbehörde kann die Erlaubnis erteilen, die Amtsbezeichnung mit dem Zusatz „außer Dienst“ oder „a. D.“ sowie die im Zusammenhang mit dem Amt verliehenen Titel zu führen. Die",Nach der Entlassung besteht kein Anspruch auf Besoldung und Versorgung soweit gesetzlich nichts anderes bestimmt ist. Die oberste Dienstbehörde kann die Erlaubnis erteilen die Amtsbezeichnung mit dem Zusatz „außer Dienst“ oder „a. D.“ sowie die im Zusammenhang mit dem Amt verliehenen Titel zu führen. Die Erlaubnis kann zurückgenommen werden wenn die frühere Beamtin oder der frühere Beamte sich ihrer als nicht würdig erweist. Die oberste Dienstbehörde kann die Befugnis nach den Sätzen 2 und 3 auf nachgeordnete Behörden übertragen.,perfekt
Ausschreibungen müssen öffentlich sein. Ausnahmen von den Sätzen 1 und 2 kann die Bundesregierung durch Rechtsverordnung regeln.,Zu besetzende Stellen sind auszuschreiben. Bei der Einstellung von Bewerberinnen und Bewerbern muss die Ausschreibung öffentlich sein. Ausnahmen von den Sätzen 1 und 2 kann die Bundesregierung durch Rechtsverordnung regeln. Die Art der Ausschreibung regelt die oberste Dienstbehörde nach Maßgabe des § 6 des Bundesgleichstellungsgesetzes. Sie kann diese Befugnis auf unmittelbar nachgeordnete Behörden übertragen.,perfekt
"Eigentümer muss Sache dem Erwerber übergeben und beide darüber einig sein, dass dieser den Nießbrauch erhalten soll.","Zur Bestellung des Nießbrauchs an einer beweglichen Sache ist erforderlich, dass der Eigentümer die Sache dem Erwerber übergibt und beide darüber einig sind, dass diesem der Nießbrauch zustehen soll. Die Vorschriften des § 929 Satz 2, der §§ 930 bis 932 und der §§ 933 bis 936 finden entsprechende Anwendung; in den Fällen des § 936 tritt nur die Wirkung ein, dass der Nießbrauch dem Recht des Dritten vorgeht.",perfekt
"Ein vom Bundestag beschlossenes Gesetz wird zustande kommen, wenn der Bundesrat es nicht verhindert, dass es innerhalb der Frist des Artikels 77 Absatz 3 keinen Einspruch gibt oder dieser zurücknimmt oder wenn der Einspruch vom Bundestage überstimmt wird.",Dem Bundesverfassungsgerichte kann durch Landesgesetz die Entscheidung von Verfassungsstreitigkeiten innerhalb eines Landes den in Artikel 95 Abs. 1 genannten obersten Gerichtshöfen für den letzten Rechtszug die Entscheidung in solchen Sachen zugewiesen werden bei denen es sich um die Anwendung von Landesrecht handelt.,widerspruch
Mietvertrag kann gekündigt werden.,Ist die Miete für die Zeit nach Beendigung des Mietverhältnisses im Voraus entrichtet worden so hat der Vermieter sie zurückzuerstatten und ab Empfang zu verzinsen. Hat der Vermieter die Beendigung des Mietverhältnisses nicht zu vertreten so hat er das Erlangte nach den Vorschriften über die Herausgabe einer ungerechtfertigten Bereicherung zurückzuerstatten. Bei einem Mietverhältnis über Wohnraum ist eine zum Nachteil des Mieters abweichende Vereinbarung unwirksam.,widerspruch
Beschwerdegegner kann Entscheidung angefochten werden.,Durch Einlegung der Beschwerde wird der Vollzug der angefochtenen Entscheidung nicht gehemmt. Jedoch kann das Gericht der Vorsitzende oder der Richter dessen Entscheidung angefochten wird sowie auch das Beschwerdegericht anordnen daß die Vollziehung der angefochtenen Entscheidung auszusetzen ist.,perfekt
"entsprechend für Beamtinnen und Beamte, Richterinnen und Richter, Zivildienstleistende und Kriegsdienstverweigerer gelten die Vorschriften dieses Gesetzes.",Die Vorschriften dieses Gesetzes gelten unter Berücksichtigung ihrer besonderen Rechtsstellung entsprechend für 1.Beamtinnen und Beamte des Bundes der Länder der Gemeinden der Gemeindeverbände sowie der sonstigen der Aufsicht des Bundes oder eines Landes unterstehenden Körperschaften Anstalten und Stiftungen des öffentlichen Rechts 2.Richterinnen und Richter des Bundes und der Länder 3.Zivildienstleistende sowie anerkannte Kriegsdienstverweigerer soweit ihre Heranziehung zum Zivildienst betroffen ist.,perfekt
Die Berufung muss innerhalb von 7 Tagen nach Ablauf der Frist eingelegt werden.,Der Beschwerdeführer hat die Erklärung abzugeben inwieweit er das Urteil anfechte und dessen Aufhebung beantrage (Revisionsanträge) und die Anträge zu begründen. Aus der Begründung muß hervorgehen ob das Urteil wegen Verletzung einer Rechtsnorm über das Verfahren oder wegen Verletzung einer anderen Rechtsnorm angefochten wird. Ersterenfalls müssen die den Mangel enthaltenden Tatsachen angegeben werden.,widerspruch
"1. Wählen Sie Ihre Stimme in dem Sinn ab, daß Sie durch ein Kreuz oder andere Kennzeichen klar machen, welcher Kandidat Ihre Stimme bekommen soll. 2. Faltet Ihr Stimmzettel in dem Sinn ab, daß die Stimmabgabe für jede Liste zulässig ist.",Auf Grund des § 3 Abs. 1 des Allgemeinen Eisenbahngesetzes vom 29. März 1951 (Bundesgesetzbl. I S. 225) geändert durch das Gesetz vom 1. August 1961 (Bundesgesetzbl. I S. 1161) in Verbindung mit § 1 der Verordnung über die Ermächtigung des Bundesministers für Verkehr zum Erlaß von Rechtsverordnungen auf dem Gebiet des Eisenbahnwesens vom 28. September 1955 (Bundesgesetzbl. I S. 654) wird mit Zustimmung des Bundesrates verordnet:,widerspruch
Der Bundespersonalausschuss dient der einheitlichen Handhabung von Beamtenrechtlichen Ausnahmevorschriften.,Die Vorschriften des § 134 Abs. 1 und 2 und des § 135 gelten entsprechend für die zum Zeitpunkt der Umbildung bei der abgebenden Körperschaft vorhandenen Versorgungsempfängerinnen und Versorgungsempfänger. In den Fällen des § 134 Abs. 3 bleiben die Ansprüche der zum Zeitpunkt der Umbildung vorhandenen Versorgungsempfängerinnen und Versorgungsempfänger gegenüber der abgebenden Körperschaft bestehen. Die Absätze 1 und 2 gelten entsprechend in den Fällen des § 134 Abs. 4.,widerspruch
"Besitzer ist derjenige, der zum Besitz berechtigt oder verpflichtet ist.",Steht demjenigen dessen Grundstück oder dessen Recht von der Vormerkung betroffen wird eine Einrede zu durch welche die Geltendmachung des durch die Vormerkung gesicherten Anspruchs dauernd ausgeschlossen wird so kann er von dem Gläubiger die Beseitigung der Vormerkung verlangen.,widerspruch
"Erblasser kann für den Fall dass die dem Erben oder einem Vermächtnisnehmer auferlegten Vermächtnisse und Auflagen wegen eines Pflichtteilsanspruchs oder in Gemäßheit der §§ 2187 2188 gekürzt werden, die Verfügung von Todes wegen anordnen.",Der Erblasser kann für den Fall dass die dem Erben oder einem Vermächtnisnehmer auferlegten Vermächtnisse und Auflagen auf Grund der Beschränkung der Haftung des Erben wegen eines Pflichtteilsanspruchs oder in Gemäßheit der §§ 2187 2188 gekürzt werden durch Verfügung von Todes wegen anordnen dass ein Vermächtnis oder eine Auflage den Vorrang vor den übrigen Beschwerungen haben soll.,perfekt
"Jeder der übrigen Teilhaber hat für seinen Anteil eine verantwortungsvolle Pflicht zu erfüllen, wenn ein gemeinschaftlicher Gegenstand aufgelöst wird.",Zur Gültigkeit des Bürgschaftsvertrags ist schriftliche Erteilung der Bürgschaftserklärung erforderlich. Die Erteilung der Bürgschaftserklärung in elektronischer Form ist ausgeschlossen. Soweit der Bürge die Hauptverbindlichkeit erfüllt wird der Mangel der Form geheilt.,widerspruch
Das Bundesministerium der Finanzen regelt das Nähere durch Rechtsverordnung.,Soweit der Zollkodex oder sonstige gemeinschaftsrechtliche Vorschriften eine Befugnis zur Einräumung von Erleichterungen oder vereinfachten Verfahren im Rahmen des gemeinschaftlichen Versandverfahrens vorsehen kann das Bundesministerium der Finanzen das Nähere durch Rechtsverordnung regeln.,perfekt
"Der Empfänger ist verpflichtet, die Leistung zur Herausgabe zu erbringen, wenn er weiß, dass der Anspruch auf Herausgabe rechtskräftig geworden ist.",Wer für denjenigen welcher ein Tier hält die Führung der Aufsicht über das Tier durch Vertrag übernimmt ist für den Schaden verantwortlich den das Tier einem Dritten in der im § 833 bezeichneten Weise zufügt. Die Verantwortlichkeit tritt nicht ein wenn er bei der Führung der Aufsicht die im Verkehr erforderliche Sorgfalt beobachtet oder wenn der Schaden auch bei Anwendung dieser Sorgfalt entstanden sein würde.,widerspruch
"Versicherungsnehmer ist verpflichtet, Anzeigen nach §§ 19 bis 28 Abs. 4 und § 31 Abs. 1 Satz 2 in Textform zu machen.",Bei der Versicherung für fremde Rechnung stehen die Rechte aus dem Versicherungsvertrag dem Versicherten zu. Die Übermittlung des Versicherungsscheins kann jedoch nur der Versicherungsnehmer verlangen. Der Versicherte kann ohne Zustimmung des Versicherungsnehmers nur dann über seine Rechte verfügen und diese Rechte gerichtlich geltend machen wenn er im Besitz des Versicherungsscheins ist.,widerspruch
"Der Gläubiger kann verlangen, dass Schuldner die verwirkte Strafe statt der Erfüllung verlangt.",Ist der Rücktritt gegen Zahlung eines Reugeldes vorbehalten so ist der Rücktritt unwirksam wenn das Reugeld nicht vor oder bei der Erklärung entrichtet wird und der andere Teil aus diesem Grunde die Erklärung unverzüglich zurückweist. Die Erklärung ist jedoch wirksam wenn das Reugeld unverzüglich nach der Zurückweisung entrichtet wird.,widerspruch
